frame,blink,gaze_vel,AU1-neg,AU1-pos,AU2-neg,AU2-pos,AU3-neg,AU3-pos,AU4-neg,AU4-pos,AU5-neg,AU5-pos,AU6-neg,AU6-pos,AU7-neg,AU7-pos,AU8-neg,AU8-pos,AU9-neg,AU9-pos,AU10-neg,AU10-pos,AU11-neg,AU11-pos,AU12-neg,AU12-pos
0,0,0.0,-0.2162,-1.6379,-0.0348,-3.3748,-0.4412,-1.0308,-0.1436,-2.0115,-0.9991,-0.4592,-0.0823,-2.5385,-0.9955,-0.4613,-0.2295,-1.5845,-0.2741,-1.4283,-0.3073,-1.3297,-0.1062,-2.2948,-0.0373,-3.3064
30,0,34.68760884126011,-0.2193,-1.6248,-0.0290,-3.5545,-0.4262,-1.0585,-0.1784,-1.8117,-0.9914,-0.4637,-0.1675,-1.8694,-0.7206,-0.6664,-0.2044,-1.6882,-0.5796,-0.8212,-0.3181,-1.3003,-0.0914,-2.4380,-0.0606,-2.8343
60,1,47.90084865031104,-0.1069,-2.2887,-0.0136,-4.3059,-0.9581,-0.4839,-0.2364,-1.5582,-0.9232,-0.5063,-0.4119,-1.0858,-0.8520,-0.5561,-0.1679,-1.8672,-0.5465,-0.8651,-0.2412,-1.5403,-0.0491,-3.0374,-0.0699,-2.6956
90,0,21.940917759986725,-0.1663,-1.8757,-0.0243,-3.7285,-0.6322,-0.7581,-0.2433,-1.5328,-0.8816,-0.5346,-0.4215,-1.0672,-1.1799,-0.3672,-0.1767,-1.8204,-0.6521,-0.7359,-0.3322,-1.2636,-0.0707,-2.6847,-0.0590,-2.8595
120,0,24.16537005959151,-0.1300,-2.1045,-0.0153,-4.1877,-0.6678,-0.7191,-0.3676,-1.1789,-1.0693,-0.4204,-0.5105,-0.9168,-1.1701,-0.3715,-0.1552,-1.9396,-0.5242,-0.8966,-0.2085,-1.6703,-0.1254,-2.1382,-0.0624,-2.8050
150,1,16.712407056594518,-0.1754,-1.8270,-0.0101,-4.5985,-0.6636,-0.7236,-0.1844,-1.7815,-0.8504,-0.5573,-0.3162,-1.3053,-0.8047,-0.5928,-0.1059,-2.2980,-0.3633,-1.1888,-0.2166,-1.6361,-0.0903,-2.4499,-0.0680,-2.7214
180,0,15.44937620081307,-0.2925,-1.3719,-0.0203,-3.9052,-0.8443,-0.5619,-0.1948,-1.7314,-1.0004,-0.4585,-0.3877,-1.1351,-0.9775,-0.4720,-0.1425,-2.0190,-0.4693,-0.9819,-0.2588,-1.4783,-0.0667,-2.7414,-0.0770,-2.6020
210,0,17.697927355132528,-0.1770,-1.8188,-0.0165,-4.1114,-0.3886,-1.1332,-0.2687,-1.4454,-0.9371,-0.4972,-0.3734,-1.1660,-1.0135,-0.4509,-0.1112,-2.2516,-0.4576,-1.0019,-0.2285,-1.5884,-0.1027,-2.3272,-0.1180,-2.1958
240,1,28.500433201507,-0.2042,-1.6889,-0.0142,-4.2599,-0.7448,-0.6440,-0.2002,-1.7067,-0.8670,-0.5451,-0.3409,-1.2418,-0.9762,-0.4728,-0.1714,-1.8484,-0.5525,-0.8569,-0.3651,-1.1845,-0.0825,-2.5364,-0.0641,-2.7788
270,0,35.27344582172067,-0.1877,-1.7653,-0.0196,-3.9442,-0.3220,-1.2899,-0.1914,-1.7478,-1.0051,-0.4557,-0.1704,-1.8539,-0.9163,-0.5108,-0.1340,-2.0763,-0.4723,-0.9770,-0.2761,-1.4219,-0.1129,-2.2371,-0.0801,-2.5642
300,0,30.62818644851316,-0.0480,-3.0595,-0.0360,-3.3414,-0.1411,-2.0278,-0.1452,-2.0012,-1.0801,-0.4149,-0.2544,-1.4934,-1.2130,-0.3528,-0.0470,-3.0812,-0.4198,-1.0705,-0.1867,-1.7700,-0.0736,-2.6451,-0.0804,-2.5603
330,1,39.73115616201002,-0.1785,-1.8112,-0.0875,-2.4800,-0.6137,-0.7795,-0.1683,-1.8647,-1.1567,-0.3776,-0.4547,-1.0068,-1.4123,-0.2792,-0.1264,-2.1311,-0.3050,-1.3362,-0.2327,-1.5721,-0.0696,-2.7000,-0.0604,-2.8364
360,2,23.20084314471901,-0.0589,-2.8610,-0.0577,-2.8809,-0.0737,-2.6447,-0.0660,-2.7504,-0.7173,-0.6695,-0.1163,-2.2095,-1.8282,-0.1752,-0.1322,-2.0887,-0.5145,-0.9108,-0.2647,-1.4585,-0.0378,-3.2947,-0.0552,-2.9249
390,0,32.99835698225738,-0.3967,-1.1163,-0.1354,-2.0662,-0.4661,-0.9873,-0.1968,-1.7223,-0.9322,-0.5003,-0.1828,-1.7894,-1.3255,-0.3088,-0.1450,-2.0029,-0.2761,-1.4218,-0.3294,-1.2708,-0.2085,-1.6701,-0.2578,-1.4819
